Compound_Id	CpdClass	Smiles
410418	S-C-S	COc1ccc2c(c1O)C13CCN(C)C(C2)C1CCC1(CC(=O)c2cc(OCc4ccccc4)ccc2O1)C3
409728	S-C-R	COc1ccc2c(c1O)C13CCN(C)C(C2)C1CCC1(CC(=O)c2ccc4ccccc4c2O1)C3
409709	S-I-closed	COc1ccc2c3c1OC1c4[nH]c5ccccc5c4CC4C(C2)N(C)CCC314
409712	S-I-closed	COc1ccc2c3c1OC1c4[nH]c5ccc(C)cc5c4CC4C(C2)N(C)CCC314
409713	S-I-closed	COc1ccc2[nH]c3c(c2c1)CC1C2Cc4ccc(OC)c5c4C1(CCN2C)C3O5
409714	S-I-closed	COc1ccc2c3c1OC1c4[nH]c5c(C)cccc5c4CC4C(C2)N(C)CCC314
409715	S-I-closed	COc1ccc2c3c1OC1c4[nH]c5ccc(C(C)C)cc5c4CC4C(C2)N(C)CCC314
409716	S-I-closed	COc1ccc2c3c1OC1c4[nH]c5ccc(Cl)cc5c4CC4C(C2)N(C)CCC314
409717	S-I-closed	COc1ccc2c3c1OC1c4c(c5ccccc5n4-c4ccccc4)CC4C(C2)N(C)CCC314
410431	S-I-closed	COc1ccc2c3c1OC1c4[nH]c5c(C)c(C)ccc5c4CC4C(C2)N(C)CCC314
409718	S-I-closed	COc1ccc2c3c1OC1c4c(c5ccccc5n4Cc4ccccc4)CC4C(C2)N(C)CCC314
410429	S-I-closed	COc1ccc2c3c1OC1c4[nH]c5c(C)cc(C)cc5c4CC4C(C2)N(C)CCC314
409675	S-I-closed	COc1ccc2c3c1OC1c4[nH]c5c(Cl)ccc(Cl)c5c4CC4C(C2)N(C)CCC314
409676	S-I-closed	COc1ccc2c3c1OC1c4[nH]c5ccc(Oc6ccccc6)cc5c4CC4C(C2)N(C)CCC314
409719	S-I-closed	COc1ccc2c3c1OC1c4[nH]c5ccc6ccccc6c5c4CC4C(C2)N(C)CCC314
409677	S-I-closed	COc1ccc2c3c1OC1c4[nH]c5c(C)ccc(Cl)c5c4CC4C(C2)N(C)CCC314
410432	S-I-closed	COc1ccc2c3c1OC1c4[nH]c5c(F)ccc(Br)c5c4CC4C(C2)N(C)CCC314
410433	S-I-closed	COc1ccc2c3c1OC1c4[nH]c5ccc(F)cc5c4CC4C(C2)N(C)CCC314
410434	S-I-closed	COc1ccc2c3c1OC1c4[nH]c5c(ccc6ccccc65)c4CC4C(C2)N(C)CCC314
409678	S-I-closed	COc1ccc2c3c1OC1c4[nH]c5ccc(OCc6ccccc6)cc5c4CC4C(C2)N(C)CCC314
410435	S-I-opened	COc1ccc2c(c1O)C13CCN(C)C(C2)C1Cc1c([nH]c2ccccc12)C3
410436	S-I-opened	COc1ccc2c(c1O)C13CCN(C)C(C2)C1Cc1c([nH]c2ccc(C)cc12)C3
410437	S-I-opened	COc1ccc2[nH]c3c(c2c1)CC1C2Cc4ccc(OC)c(O)c4C1(CCN2C)C3
410438	S-I-opened	COc1ccc2c(c1O)C13CCN(C)C(C2)C1Cc1c([nH]c2c(C)cccc12)C3
410439	S-I-opened	COc1ccc2c(c1O)C13CCN(C)C(C2)C1Cc1c([nH]c2ccc(C(C)C)cc12)C3
410440	S-I-opened	COc1ccc2c(c1O)C13CCN(C)C(C2)C1Cc1c([nH]c2ccc(Cl)cc12)C3
410441	S-I-opened	COc1ccc2c(c1O)C13CCN(C)C(C2)C1Cc1c([nH]c2cc(C)cc(C)c12)C3
410420	S-I-opened	COc1ccc2c(c1O)C13CCN(C)C(C2)C1Cc1c(n(Cc2ccccc2)c2ccccc12)C3
410421	S-I-opened	COc1ccc2c(c1O)C13CCN(C)C(C2)C1Cc1c([nH]c2c(Cl)ccc(Cl)c12)C3
